FIR_No,Crime_Type,District,Police_Station,Date,Victim_Name,Victim_Age,Victim_Gender,Suspect_Name,Weapon,Status,Latitude,Longitude,Severity
FIR1014,Kidnapping,Ballari,Rural,2024-06-25,Utkarsh Kannan,60,Female,Aashi Raghavan,Knife,Under Investigation,16.053703,77.062882,1
FIR1015,Assault,Bengaluru Urban,Traffic,2025-01-15,Chatura Mander,35,Male,Shaurya Dewan,Knife,Under Investigation,11.71851,74.83708,4
FIR1016,Drug Trafficking,Hubballi-Dharwad,South,2024-07-13,Harish Chanda,44,Male,Anjali Dua,None,Closed,12.881974,77.60913,4
FIR1017,Vehicle Theft,Mangaluru,Central,2026-05-24,Xiti Kata,52,Female,Panini Wadhwa,Unknown,Closed,15.711889,76.943845,2
FIR1018,Assault,Kalaburagi,Rural,2025-10-23,Elijah Khosla,65,Male,Damini Jayaraman,None,Closed,13.742701,78.677251,10
FIR1019,Drug Trafficking,Hubballi-Dharwad,South,2026-04-17,Zashil Chahal,25,Female,Omaja Johal,Knife,Under Investigation,11.717406,78.677992,4
FIR1020,Drug Trafficking,Mysuru,South,2025-05-16,Upkaar Zacharia,25,Female,Turvi Dutta,Gun,Open,12.070697,75.851224,1
FIR1021,Drug Trafficking,Vijayapura,Market,2024-11-08,Anmol Choudhary,51,Female,Urvi Aurora,Vehicle,Open,14.097796,76.028775,1
FIR1022,Theft,Ballari,Rural,2025-03-28,Anya Raj,39,Male,Rudra Wali,None,Under Investigation,17.161362,76.795788,4
FIR1023,Assault,Belagavi,Central,2024-11-28,Manthan Peri,69,Female,Ronith Om,Gun,Closed,14.531868,75.028183,8
FIR1024,Drug Trafficking,Shivamogga,North,2025-08-11,Balveer Verma,69,Male,Mugdha Vasa,Rod,Closed,17.102591,78.683465,8
FIR1025,Robbery,Mysuru,South,2025-09-16,Charvi Nadig,72,Male,Waida Borra,Vehicle,Open,16.754945,77.10774,7
FIR1026,Drug Trafficking,Kalaburagi,Traffic,2026-04-15,Ekani Sura,61,Male,Owen Sachdeva,Gun,Closed,13.648407,74.883436,3
FIR1027,Theft,Bengaluru Urban,North,2026-01-01,Daksh Soni,44,Male,Peter Dani,Gun,Open,18.171795,74.867027,6
FIR1028,Burglary,Ballari,South,2026-06-19,Nilima Kade,28,Female,Henry Sathe,Unknown,Under Investigation,12.027297,75.685393,6
FIR1029,Vehicle Theft,Kalaburagi,Central,2025-12-02,Ekbal Setty,60,Male,Devika Chopra,Unknown,Open,18.286561,78.028614,1
FIR1030,Robbery,Shivamogga,East,2024-07-20,Amol Nagi,29,Female,Adya Subramanian,Rod,Closed,15.838517,77.797575,6
FIR1031,Robbery,Vijayapura,Central,2026-05-31,Ekaja Palla,25,Female,Vrinda Khare,Gun,Closed,14.327539,75.87919,10
FIR1032,Cyber Crime,Kalaburagi,Central,2024-12-02,Sara Kamdar,48,Female,Vedhika Sani,None,Open,13.765129,78.396991,3
FIR1033,Fraud,Mangaluru,South,2024-08-15,Janaki Goswami,32,Male,Yagnesh Dube,Knife,Under Investigation,12.939331,78.274832,3
FIR1034,Kidnapping,Hubballi-Dharwad,Central,2026-02-02,Yutika Venkatesh,57,Male,Yashvi Mander,Rod,Closed,17.289645,74.261348,4
FIR1035,Theft,Shivamogga,Market,2025-11-03,Varenya Grover,23,Male,Warjas Contractor,None,Open,16.352454,74.350394,8
FIR1036,Kidnapping,Bengaluru Urban,West,2024-07-13,Isaiah Seshadri,65,Male,Lekha Agrawal,None,Under Investigation,18.482317,77.169174,5
FIR1037,Vehicle Theft,Tumakuru,Central,2026-03-09,Finn Bansal,40,Female,Dipta Dixit,Vehicle,Open,15.607631,77.67712,6
FIR1038,Cyber Crime,Belagavi,Traffic,2025-11-30,Ayush Chand,46,Male,Zayyan Tank,Knife,Under Investigation,17.193559,77.632982,5
FIR1039,Burglary,Kalaburagi,Market,2025-05-04,Hemangini Doctor,28,Male,Advay Lala,Rod,Open,18.251425,75.37836,4
FIR1040,Cyber Crime,Mysuru,Market,2025-04-09,Panini Nagar,36,Female,Reyansh Merchant,Gun,Open,13.825953,77.130332,10
FIR1041,Murder,Shivamogga,South,2026-05-05,Brijesh Chada,49,Male,Girish Vasa,Knife,Open,14.832536,76.841741,9
FIR1042,Robbery,Belagavi,East,2024-09-20,Faraj Lad,31,Female,Tanmayi Rastogi,Knife,Under Investigation,12.508985,78.131995,7
FIR1043,Cyber Crime,Mysuru,North,2025-08-08,Xalak Gade,60,Female,Rishi Sama,Unknown,Closed,11.523068,77.024628,1
FIR1044,Assault,Bengaluru Urban,Rural,2025-05-01,Ekani Arya,58,Male,Nakul Edwin,Knife,Closed,12.275588,74.240918,1
FIR1045,Assault,Mangaluru,South,2024-12-06,Henry Garde,24,Female,Patrick Chandran,Gun,Under Investigation,14.964172,75.714277,9
FIR1046,Robbery,Bengaluru Urban,Rural,2025-03-11,Forum Bajaj,21,Female,Champak Sharaf,Rod,Open,11.941758,74.506084,2
FIR1047,Theft,Tumakuru,Rural,2026-04-08,Nilima Banik,44,Female,Raghav Pai,Gun,Open,14.091873,76.762051,1
FIR1048,Vehicle Theft,Mangaluru,Traffic,2024-07-07,Hitesh Bajaj,42,Male,Matthew Dara,Vehicle,Open,11.78682,74.94308,1
FIR1049,Theft,Shivamogga,North,2025-03-02,Lekha Gupta,74,Male,Falan Gara,Knife,Closed,16.223756,75.971158,8
FIR1050,Burglary,Tumakuru,Central,2025-04-18,Vasatika Chaudry,64,Male,Chatura Bhalla,Knife,Closed,17.107108,78.782971,9
FIR1051,Kidnapping,Tumakuru,Traffic,2024-12-11,Damini Shere,27,Female,Baljiwan Khosla,None,Open,12.751201,78.586925,9
FIR1052,Burglary,Tumakuru,South,2025-07-31,Gagan Vohra,74,Female,Frado Batta,Gun,Closed,11.893554,74.085372,3
FIR1053,Fraud,Mangaluru,East,2026-03-06,Ishani Date,25,Male,Finn Sami,Vehicle,Open,16.691828,77.376376,9
FIR1054,Burglary,Vijayapura,Traffic,2024-08-07,Ria Sarraf,42,Female,Veer Yohannan,None,Open,11.68305,78.765437,7
FIR1055,Cyber Crime,Bengaluru Urban,Traffic,2024-09-18,Pavani Bhardwaj,65,Female,Lekha Varghese,None,Open,18.399402,74.421388,10
FIR1056,Assault,Kalaburagi,Market,2025-10-10,Veer Mandal,29,Male,Rishi Prasad,Gun,Closed,13.796203,75.924473,8
FIR1057,Vehicle Theft,Ballari,West,2025-09-22,Qadim Bahl,34,Male,Vedika Ratta,None,Under Investigation,15.348251,78.531279,4
FIR1058,Vehicle Theft,Belagavi,Central,2025-08-14,Riya Karan,61,Female,Ekantika Dube,Vehicle,Closed,14.452138,74.442616,8
FIR1059,Cyber Crime,Ballari,East,2025-12-17,Wazir Bains,49,Female,Nidra Patla,Unknown,Open,14.932339,74.682169,10
FIR1060,Assault,Shivamogga,North,2025-04-27,Vincent Uppal,23,Male,Bhavna Deshmukh,Knife,Under Investigation,15.918168,75.640318,1
FIR1061,Drug Trafficking,Hubballi-Dharwad,Central,2025-08-23,Sarthak Gala,18,Male,Harshil Jaggi,Gun,Under Investigation,12.160682,75.364386,5
FIR1062,Drug Trafficking,Vijayapura,South,2024-08-19,Vasudha Shukla,46,Male,Sara Nath,None,Under Investigation,14.717165,75.499791,3
FIR1063,Theft,Mangaluru,West,2025-06-12,Chatura Badal,29,Male,Vasatika Sankar,Rod,Open,15.362588,74.570787,6
FIR1064,Robbery,Shivamogga,South,2024-07-30,Sara Sawhney,58,Female,Aarini Padmanabhan,Gun,Open,15.536821,75.934001,5
FIR1065,Kidnapping,Bengaluru Urban,Central,2024-08-17,Jeevika Dave,27,Female,Rishi Chandran,Vehicle,Open,17.269637,76.595618,9
FIR1066,Kidnapping,Mysuru,East,2025-07-12,Aishani Vig,34,Female,Bhavya Dhingra,None,Under Investigation,13.880437,74.146351,6
FIR1067,Vehicle Theft,Ballari,North,2025-04-20,Nitesh Swaminathan,42,Male,Wriddhish Borra,Knife,Open,14.211712,74.982979,2
FIR1068,Burglary,Ballari,Traffic,2026-02-03,Umang Saran,73,Female,Lekha Sehgal,Knife,Under Investigation,12.852149,74.237427,3
FIR1069,Cyber Crime,Kalaburagi,Traffic,2025-02-07,Manbir Taneja,37,Male,Eta Nath,Knife,Closed,17.09898,77.128579,5
FIR1070,Vehicle Theft,Tumakuru,South,2025-08-12,Onveer Parikh,22,Female,Anirudh Malhotra,Gun,Open,17.882817,75.352775,3
FIR1071,Kidnapping,Hubballi-Dharwad,North,2024-11-06,Balhaar Tak,22,Male,Nidhi Saran,Vehicle,Closed,14.296748,76.958857,5
FIR1072,Vehicle Theft,Kalaburagi,West,2025-08-09,Liam Murthy,63,Female,Nandini Merchant,Knife,Closed,17.351909,76.647746,9
FIR1073,Vehicle Theft,Hubballi-Dharwad,East,2026-01-12,Gaurangi Raja,74,Female,Jatin Doctor,Unknown,Under Investigation,12.178278,74.472009,9
FIR1074,Burglary,Mysuru,East,2026-01-05,Samuel Arora,42,Male,Tanmayi Varughese,Knife,Closed,13.330797,76.053565,2
FIR1075,Fraud,Shivamogga,Market,2025-04-02,Anya Shankar,52,Male,Wriddhish Kibe,None,Under Investigation,15.211428,78.136731,3
FIR1076,Cyber Crime,Mangaluru,South,2025-08-25,Aadhya Chakraborty,21,Male,George Naik,Knife,Under Investigation,14.343732,77.307258,2
FIR1077,Assault,Shivamogga,West,2025-09-16,Guneet Narain,69,Female,Inaya Radhakrishnan,Unknown,Closed,16.168146,76.160122,4
FIR1078,Burglary,Vijayapura,Market,2024-09-13,Dev Sastry,68,Female,Girindra Vaidya,None,Open,18.262112,74.919325,10
FIR1079,Murder,Bengaluru Urban,South,2024-11-12,Ethan D’Alia,38,Male,Vivaan Muni,Knife,Under Investigation,18.360669,77.460111,6
FIR1080,Burglary,Shivamogga,Rural,2025-08-12,Tanmayi Dhar,30,Male,Vihaan Lall,Vehicle,Under Investigation,16.809993,78.673006,8
FIR1081,Cyber Crime,Hubballi-Dharwad,Traffic,2025-01-27,Niharika Iyer,24,Male,Aarna Sharaf,Vehicle,Open,11.854182,74.435197,3
FIR1082,Kidnapping,Vijayapura,Central,2025-05-08,Vincent Buch,50,Female,Madhavi Atwal,Unknown,Under Investigation,16.188232,78.506613,4
FIR1083,Drug Trafficking,Hubballi-Dharwad,North,2025-06-27,Yoshita Srivastava,46,Male,Anusha Johal,Knife,Closed,15.288523,74.137983,5
FIR1084,Burglary,Shivamogga,North,2026-04-10,Dalbir Borde,29,Female,Reva Ratta,Unknown,Closed,18.469688,77.835425,3
FIR1085,Fraud,Hubballi-Dharwad,Traffic,2024-08-07,Jack Nagarajan,18,Female,Chatresh Peri,Vehicle,Under Investigation,14.434424,76.072707,9
FIR1086,Drug Trafficking,Mysuru,South,2025-07-26,Madhavi Khalsa,56,Male,Harrison Krishna,Unknown,Open,13.681493,76.392622,7
FIR1087,Drug Trafficking,Tumakuru,Rural,2026-04-21,Logan Jha,75,Female,Siddharth Mody,Knife,Open,15.195286,77.532976,9
FIR1088,Robbery,Shivamogga,East,2025-04-20,Thomas Chopra,57,Female,Krish Warrior,Rod,Open,17.442259,74.120215,4
FIR1089,Drug Trafficking,Hubballi-Dharwad,Traffic,2025-08-21,Aarav Dhar,36,Male,Harrison Choudhry,Gun,Open,12.491681,76.403362,9
FIR1090,Assault,Tumakuru,North,2025-10-18,Fitan Rai,71,Female,Arya Dhawan,None,Closed,17.798961,74.901567,5
FIR1091,Kidnapping,Vijayapura,Rural,2025-11-12,Darpan Deshpande,62,Female,Saumya Kapur,None,Under Investigation,15.880833,74.98612,7
FIR1092,Cyber Crime,Shivamogga,East,2026-04-26,Edhitha Warrior,19,Female,Widisha Sankaran,Knife,Under Investigation,14.618464,74.311939,10
FIR1093,Theft,Ballari,West,2025-10-16,Teerth Chauhan,22,Male,Krishna Vyas,None,Open,13.900146,77.741766,3
FIR1094,Assault,Bengaluru Urban,South,2025-10-18,Upadhriti Raja,46,Female,Ryan Raghavan,Vehicle,Under Investigation,12.786807,75.369291,8
FIR1095,Robbery,Ballari,East,2025-01-23,Arjun Garde,36,Female,Nidhi Mukherjee,Unknown,Closed,12.035948,77.728577,1
FIR1096,Murder,Kalaburagi,West,2026-05-22,Azaan Bumb,40,Male,Andrew Kulkarni,Unknown,Under Investigation,16.389034,75.492318,9
FIR1097,Kidnapping,Mysuru,Central,2026-01-26,Banjeet Ramachandran,47,Female,Jackson Tak,Unknown,Under Investigation,16.98281,75.308551,7
FIR1098,Theft,Tumakuru,Central,2026-04-05,Eesha Barad,47,Female,Praneel Naik,Vehicle,Closed,12.054862,78.353415,8
FIR1099,Assault,Hubballi-Dharwad,West,2026-05-04,Ansh Mandal,35,Female,Nandini Raj,Gun,Open,12.693096,76.264763,10
FIR1100,Theft,Belagavi,Rural,2025-04-07,Ikshita Anand,42,Female,Patrick Zacharia,Knife,Under Investigation,12.333455,75.988911,7
FIR1101,Kidnapping,Vijayapura,East,2026-06-13,Oscar Swamy,39,Female,Rushil Badami,None,Open,13.292118,74.665254,2
FIR1102,Drug Trafficking,Tumakuru,East,2026-04-28,Tanmayi Manne,71,Female,Lopa Mani,Rod,Under Investigation,15.142283,77.653956,3
FIR1103,Kidnapping,Kalaburagi,West,2024-10-10,Priya Bir,68,Male,Naveen Upadhyay,Gun,Closed,14.88098,74.871835,3
FIR1104,Robbery,Shivamogga,North,2025-12-30,Indali Sathe,57,Female,Sudiksha Barad,None,Open,15.276344,78.360224,8
FIR1105,Fraud,Vijayapura,Traffic,2025-01-19,Aarna Balan,29,Female,Unnati Modi,Unknown,Open,18.380356,74.079574,10
FIR1106,Drug Trafficking,Shivamogga,East,2025-12-20,Karan Kuruvilla,64,Female,Lajita Sundaram,Rod,Closed,16.499877,74.749243,6
FIR1107,Fraud,Mysuru,Rural,2024-11-03,Jeremiah Upadhyay,41,Female,Tara Bedi,Gun,Closed,16.53053,77.442094,8
FIR1108,Theft,Mangaluru,Traffic,2026-01-01,Kamala Ganesh,65,Male,Arunima Dayal,Vehicle,Open,14.24071,75.287821,4
FIR1109,Burglary,Ballari,West,2025-01-02,Megha Gokhale,19,Female,Urvashi Mohanty,Gun,Closed,14.357239,75.758316,4
FIR1110,Drug Trafficking,Ballari,Traffic,2026-06-01,Nathaniel Soni,72,Female,Caleb Tripathi,None,Open,15.284006,74.899277,10
FIR1111,Murder,Bengaluru Urban,South,2025-11-25,Indali Doshi,53,Female,Kalpit Hayer,Knife,Under Investigation,12.314211,75.502097,1
FIR1112,Fraud,Bengaluru Urban,Central,2025-10-13,Vedhika Radhakrishnan,44,Female,Wriddhish Nayak,Unknown,Under Investigation,11.791281,75.713125,7
FIR1113,Robbery,Mysuru,Market,2025-01-22,Balvan Som,40,Female,Zaitra Narayan,Vehicle,Closed,15.833918,74.428725,3
FIR1114,Vehicle Theft,Ballari,Traffic,2025-10-04,Ikbal Munshi,60,Female,Divya Dugar,Rod,Open,11.946014,75.801545,2
FIR1115,Drug Trafficking,Ballari,East,2025-10-07,Mohammed Wagle,63,Male,Ekbal Nagar,Gun,Under Investigation,18.228822,75.214156,9
FIR1116,Drug Trafficking,Shivamogga,West,2024-09-28,Ayush Wali,49,Male,Harita Kapur,Gun,Under Investigation,14.998076,76.056626,3
FIR1117,Burglary,Vijayapura,East,2025-03-13,Robert Nagar,55,Male,Chakrika Tandon,None,Closed,12.993314,78.001694,4
FIR1118,Fraud,Ballari,South,2024-08-14,Janaki Ghose,23,Male,Kai Setty,Knife,Open,13.489499,77.989624,4
FIR1119,Theft,Tumakuru,Central,2025-01-12,Chaitaly Bhatia,68,Female,Hemal Chakrabarti,Unknown,Open,13.349179,74.303801,6
FIR1120,Murder,Mangaluru,Rural,2025-05-11,Advay Deshmukh,38,Male,Janani Kothari,None,Under Investigation,13.726339,76.876699,4
FIR1121,Theft,Mysuru,Rural,2024-12-01,Aradhana Saran,49,Female,Varsha Kibe,Unknown,Open,13.464158,76.893688,3
FIR1122,Assault,Belagavi,East,2024-12-23,Yahvi Kanda,36,Male,Krishna Dave,Unknown,Closed,13.428209,75.220153,6
FIR1123,Theft,Bengaluru Urban,South,2025-01-30,Xavier Dasgupta,47,Female,Wakeeta Dhawan,Rod,Closed,12.285463,77.397326,6
FIR1124,Robbery,Shivamogga,West,2026-05-11,Wyatt Master,39,Male,Ekanta Deo,Unknown,Under Investigation,12.688429,75.045654,3
FIR1125,Murder,Mysuru,Market,2025-08-28,Meghana Wali,27,Male,Mason Roy,Knife,Open,17.374442,76.537069,3
FIR1126,Cyber Crime,Shivamogga,South,2024-09-24,Oscar Ahuja,63,Female,Lipika Bakshi,Gun,Closed,15.467222,74.385195,6
FIR1127,Kidnapping,Belagavi,Rural,2024-07-13,Upasna Sen,54,Female,Urvashi Mital,Vehicle,Open,13.231676,75.970133,8
FIR1128,Cyber Crime,Kalaburagi,East,2025-08-03,Lipika Mann,54,Female,Warhi Sant,Unknown,Open,16.946255,77.744479,1
FIR1129,Robbery,Hubballi-Dharwad,Traffic,2026-06-05,Dayamai Batta,60,Female,Chatura Narayanan,Gun,Open,16.798031,74.020211,4
FIR1130,Drug Trafficking,Belagavi,Market,2025-04-12,Daniel Sura,65,Female,Manan Issac,Gun,Closed,11.610321,74.583704,3
FIR1131,Cyber Crime,Bengaluru Urban,East,2026-04-09,Anay Sachdev,53,Male,Varenya Buch,None,Under Investigation,15.539347,78.700348,8
FIR1132,Drug Trafficking,Shivamogga,South,2024-07-14,Baghyawati Bhandari,52,Female,Qadim Pau,None,Closed,13.891495,75.516487,5
FIR1133,Drug Trafficking,Mangaluru,Traffic,2025-02-26,Chakrika Guha,23,Male,Unni Dey,None,Closed,15.365112,78.09406,5
FIR1134,Fraud,Bengaluru Urban,Rural,2025-08-11,Yoshita Chopra,42,Female,Indira Keer,Unknown,Under Investigation,14.57924,75.751228,10
FIR1135,Kidnapping,Bengaluru Urban,Central,2025-12-09,Shaurya Sahota,45,Male,Vaishnavi Bandi,Gun,Under Investigation,13.707276,77.475837,5
FIR1136,Kidnapping,Hubballi-Dharwad,Central,2026-03-26,Jairaj Doctor,41,Male,Rachit Loyal,Gun,Open,15.233392,76.282407,10
FIR1137,Drug Trafficking,Mangaluru,Traffic,2024-12-27,Jack Grover,28,Female,Yamini Chowdhury,Unknown,Closed,17.820431,77.029877,2
FIR1138,Drug Trafficking,Bengaluru Urban,Market,2025-03-24,Zilmil Bhavsar,31,Female,Rishi Sagar,Unknown,Under Investigation,15.871869,74.106311,3
FIR1139,Vehicle Theft,Shivamogga,Market,2026-03-12,Suhani Pal,67,Male,Bakhshi Char,Gun,Under Investigation,13.620193,77.081102,5
FIR1140,Drug Trafficking,Bengaluru Urban,Central,2026-05-21,Chaaya Sachdeva,52,Female,Rudra Agate,Gun,Under Investigation,12.266821,78.339716,3
FIR1141,Cyber Crime,Shivamogga,South,2026-02-18,Ekta Gokhale,18,Female,Jagrati Sabharwal,Rod,Under Investigation,15.489896,77.404949,7
FIR1142,Vehicle Theft,Kalaburagi,South,2026-04-06,Gagan Saxena,56,Female,Kai Bhatia,Knife,Under Investigation,17.871871,76.423612,6
FIR1143,Cyber Crime,Bengaluru Urban,South,2024-11-02,Priya Kaur,45,Male,Zansi Nagy,Vehicle,Open,13.610731,75.100588,2
FIR1144,Drug Trafficking,Tumakuru,Rural,2025-12-27,Pavani Kibe,65,Male,Nitara Patla,Gun,Closed,14.887234,74.595469,2
FIR1145,Kidnapping,Mysuru,South,2024-07-20,Rachit Kala,62,Male,Harinakshi Pathak,Rod,Open,13.109858,76.098428,8
FIR1146,Murder,Bengaluru Urban,Market,2026-03-11,Aashi Sood,46,Male,Aashi Bora,Knife,Closed,13.567013,75.548102,10
FIR1147,Vehicle Theft,Kalaburagi,Central,2025-01-09,Pushti Wable,35,Female,Akshay Zachariah,None,Closed,15.817447,78.799811,5
FIR1148,Murder,Mangaluru,South,2024-11-29,Ekbal Savant,60,Female,Jyoti Pillay,Vehicle,Closed,14.960775,76.768965,2
FIR1149,Drug Trafficking,Shivamogga,Rural,2025-03-05,Urishilla Sodhi,65,Female,Garima Lad,Rod,Closed,15.335041,75.356171,2
FIR1150,Kidnapping,Shivamogga,East,2024-08-08,Jacob Taneja,55,Female,Ishaan Nori,Rod,Open,16.392883,77.111203,4
FIR1151,Fraud,Ballari,Traffic,2025-01-17,Isaac Hegde,61,Male,Rishi Narayanan,None,Under Investigation,11.818767,76.313949,3
FIR1152,Drug Trafficking,Mangaluru,Traffic,2024-07-06,Harinakshi Badami,21,Male,Ekavir Kumer,Unknown,Closed,11.962964,75.777607,5
FIR1153,Fraud,Shivamogga,West,2026-02-21,Damini Venkatesh,51,Female,Mohini Raju,Unknown,Closed,15.133258,74.625149,9
FIR1154,Drug Trafficking,Vijayapura,West,2026-01-12,Wahab Sinha,43,Female,Harini Swamy,None,Under Investigation,12.725744,77.146808,3
FIR1155,Robbery,Bengaluru Urban,Rural,2026-01-05,Ekaraj Mahajan,25,Female,Manthan Kannan,Rod,Open,13.802306,77.421931,10
FIR1156,Vehicle Theft,Ballari,North,2025-10-21,Chanakya Soman,21,Female,Naksh Sankaran,Knife,Closed,16.806597,78.34253,7
FIR1157,Kidnapping,Belagavi,East,2026-05-16,Udant Modi,52,Female,Elijah Babu,Unknown,Under Investigation,16.304842,75.292668,4
FIR1158,Cyber Crime,Tumakuru,North,2025-04-12,Tanay Iyengar,75,Male,Wakeeta Sura,Knife,Under Investigation,14.702974,74.895468,9
FIR1159,Assault,Hubballi-Dharwad,Rural,2025-05-11,Gaurang Dada,50,Male,Qarin Bhatt,Knife,Closed,12.423271,76.509698,4
FIR1160,Vehicle Theft,Belagavi,Market,2026-05-18,Rayaan Morar,57,Male,Onkar Bhatt,Gun,Closed,17.607689,75.263008,7
FIR1161,Robbery,Mangaluru,West,2024-11-26,Krishna Datta,31,Female,Dalbir Agrawal,Vehicle,Closed,12.803005,78.452081,5
FIR1162,Drug Trafficking,Tumakuru,North,2026-04-16,Chakradev Pai,27,Male,Tripti Lal,Rod,Closed,14.456459,77.570052,6
FIR1163,Theft,Mysuru,North,2025-03-15,Ishaan Sathe,47,Female,Jackson Brar,Knife,Closed,13.472941,77.205188,6
FIR1164,Robbery,Mysuru,Traffic,2025-02-02,Jai Mangat,55,Female,Raagini Comar,None,Under Investigation,11.611121,74.198423,4
FIR1165,Kidnapping,Belagavi,Central,2025-12-22,Mohammed Nadkarni,75,Male,Hemangini Chawla,Unknown,Closed,16.762272,77.377265,3
FIR1166,Kidnapping,Belagavi,West,2025-06-12,Meera Nori,69,Male,Zaid Nagi,Knife,Open,16.630039,78.138135,7
FIR1167,Robbery,Kalaburagi,West,2025-02-25,Pranav Balay,47,Female,Thomas Srivastava,None,Under Investigation,16.075123,75.491118,1
FIR1168,Assault,Shivamogga,East,2026-04-24,Nidhi Bhatia,53,Male,Jatin Lalla,None,Under Investigation,16.710988,76.272808,3
FIR1169,Kidnapping,Hubballi-Dharwad,West,2025-02-10,Anthony Dhillon,23,Female,Harinakshi Sangha,Unknown,Open,14.356551,77.28815,6
FIR1170,Assault,Belagavi,Central,2024-09-09,Samesh Devan,44,Male,Charvi Dewan,None,Under Investigation,16.574775,78.140768,2
FIR1171,Assault,Mysuru,North,2024-08-10,Kritika Rau,75,Male,Gaurangi Rege,Gun,Closed,13.778572,75.295063,6
FIR1172,Fraud,Shivamogga,Market,2025-07-11,Ekansh Grewal,34,Male,Vanya Bora,Knife,Open,18.120017,78.374557,2
FIR1173,Burglary,Tumakuru,North,2025-05-19,Laban Arora,18,Female,Sanaya Sharma,Knife,Closed,13.547069,78.406922,6
FIR1174,Murder,Tumakuru,South,2026-02-03,Fariq Borra,69,Female,Bhanumati Wagle,Unknown,Under Investigation,14.33101,78.240029,7
FIR1175,Vehicle Theft,Mysuru,Traffic,2025-05-02,Ryan Kalla,23,Male,Aryan Garg,Vehicle,Closed,12.302904,76.462806,8
FIR1176,Murder,Mysuru,East,2024-12-22,Manbir Boase,60,Female,Oeshi Shan,Knife,Open,16.037666,78.29016,7
FIR1177,Fraud,Mysuru,Central,2024-12-11,Yagnesh Anand,42,Male,Priya Konda,Knife,Closed,14.645929,75.250997,8
FIR1178,Fraud,Mangaluru,East,2026-03-07,Rajata Vohra,63,Male,Mohini Prakash,Gun,Open,17.634277,74.617534,4
FIR1179,Drug Trafficking,Hubballi-Dharwad,Traffic,2025-03-17,Omisha Bhattacharyya,19,Male,Qushi Oza,None,Under Investigation,11.577897,77.242458,9
FIR1180,Assault,Kalaburagi,North,2024-07-06,Jacob Dass,67,Male,Patrick Khosla,Vehicle,Closed,12.059141,76.510101,6
FIR1181,Cyber Crime,Vijayapura,Market,2025-09-12,Lila Gill,50,Male,Sara Suri,Rod,Under Investigation,17.439736,74.125385,9
FIR1182,Murder,Mysuru,Traffic,2026-04-15,Ekavir Bhargava,26,Male,Aayush Bera,Unknown,Closed,16.743245,77.221391,6
FIR1183,Drug Trafficking,Shivamogga,Traffic,2025-02-07,Jalsa Wagle,49,Female,Chakradhar Dhawan,None,Open,11.990027,75.931001,5
FIR1184,Cyber Crime,Vijayapura,North,2025-09-08,Anika Sathe,20,Female,Shravya Mitra,Gun,Under Investigation,14.829258,75.664822,8
FIR1185,Cyber Crime,Vijayapura,West,2024-07-07,Gunbir Chana,24,Female,Tanish Boase,Unknown,Open,14.762034,77.724595,5
FIR1186,Burglary,Mysuru,Traffic,2026-02-14,Manan Shetty,62,Female,Ekani Goel,None,Open,12.887921,76.757042,5
FIR1187,Theft,Hubballi-Dharwad,West,2025-06-22,Fariq Datta,67,Male,Alka Tank,Gun,Open,14.817775,77.114425,5
